"Student","StepID","Correct","KC_1","KC_2","KC_3","KC_4","KC_5"
"stu1",3162,1,0,1,0,0,0
"stu1",3200,1,0,0,1,0,0
"stu1",3205,0,0,0,1,0,0
"stu1",3209,1,0,0,1,0,0
"stu1",3218,1,0,0,0,0,0
"stu1",3239,1,0,0,0,0,0
"stu1",3266,0,0,0,0,0,0
"stu1",3267,1,0,0,0,0,0
"stu1",3281,1,0,0,0,0,0
"stu1",3326,1,0,0,0,0,0
"stu1",3329,1,0,0,0,0,0
"stu1",3340,1,0,0,0,0,0
"stu1",3346,1,0,0,0,0,0
"stu1",3349,1,0,0,0,0,0
"stu1",3356,0,0,0,0,0,0
"stu1",3357,1,0,0,0,0,0
"stu1",3369,1,0,0,0,0,0
"stu1",3388,1,0,0,0,0,0
"stu1",3389,1,0,0,0,0,0
"stu1",3390,1,0,0,0,0,0
"stu1",3393,1,0,0,0,0,0
"stu1",3416,1,0,0,0,0,0
"stu1",3421,1,0,0,0,0,0
"stu1",3435,1,0,0,0,0,0
"stu1",3451,1,0,0,0,0,0
"stu1",3466,1,0,0,0,0,0
"stu1",3472,1,0,0,0,0,0
"stu1",3473,1,0,0,0,0,0
"stu1",3479,1,0,0,0,0,0
"stu1",3485,1,0,0,0,0,0
"stu1",3488,1,0,0,0,0,0
"stu1",3497,0,0,0,0,0,0
"stu1",3501,1,0,0,0,0,0
"stu1",3532,0,0,0,0,0,0
"stu1",3533,1,0,0,0,0,0
"stu1",3537,0,0,0,0,0,0
"stu1",3538,1,0,0,0,0,0
"stu1",3652,1,0,0,0,0,0
"stu1",3653,1,0,0,0,0,0
"stu1",3659,1,0,0,0,0,0
"stu1",3684,0,0,0,0,0,0
"stu1",3685,1,0,0,0,0,0
"stu1",3692,1,0,0,0,0,0
"stu1",3698,1,0,0,0,0,0
"stu1",3703,0,0,0,0,0,0
"stu1",3706,1,0,0,0,0,0
"stu1",3722,0,0,0,0,0,0
"stu1",3723,1,0,0,0,0,0
"stu1",3726,1,0,0,0,0,0
"stu1",3731,1,0,0,0,0,1
"stu1",3737,1,0,0,1,0,0
"stu1",3742,1,0,0,1,0,0
"stu1",3747,0,0,0,1,0,0
"stu1",3750,1,0,0,1,0,0
"stu1",3762,1,0,0,1,0,0
"stu1",3770,1,0,0,1,0,1
"stu1",3776,1,0,0,0,0,0
"stu1",3791,1,0,0,1,0,0
"stu1",3793,1,0,0,1,0,0
"stu1",3906,1,0,0,0,0,0
"stu1",3919,1,0,0,0,0,0
"stu1",3921,1,0,0,0,0,0
"stu1",3927,1,0,0,1,0,0
